cluster,wlthindf,latitude,longitude
174,0.72495,24.016096,90.2802
175,0.7985949999999999,24.138417,90.416373
176,-0.39119,24.026601,90.588537
177,0.134575,24.176305,90.50371
178,-0.604735,23.10076,89.821057
179,-0.34719999999999995,23.247003,89.907728
180,-0.88018,25.282159,89.78727
181,-0.53243,24.754579,89.896732
182,-0.841435,24.884573,89.740785
183,-0.450465,24.700396,89.867288
184,-0.50577,24.109943,91.007616
185,-0.614115,24.506715,90.840483
186,-0.6924699999999999,24.387354,90.866996
187,-0.69861,24.362242,90.967685
188,-0.5598099999999999,23.13831,90.305895
189,-0.83754,23.437457,90.133216
190,-0.34881,23.839892,89.935902
191,-0.57606,23.929601,90.054152
192,0.61597,23.552557,90.629939
193,0.09792,23.639619,90.400212
194,0.373955,23.542224,90.477999
195,-0.88985,25.076132,90.432964
196,-0.81263,24.560761,90.183346
197,-0.5571,24.735093,90.543461
198,-0.82546,24.62497,90.592487
199,-0.27687,24.764044,90.362795
200,-0.82811,24.560352,90.578894
201,-0.595175,24.8786,90.362799
202,-0.62469,24.622433,90.466806
203,0.17401,23.720302,90.591339
204,1.2322899999999999,23.638455,90.488824
205,0.814845,23.690025,90.49838
206,-0.44504,24.1354,90.827319
207,0.38451500000000005,23.934481,90.750293
208,-0.76359,23.875405,90.882301
209,0.2573,23.972384,90.700755
210,-0.86003,24.775704,91.100044
211,-0.859345,24.60061,90.815498
212,-0.90326,24.881101,90.818486
213,-0.6731,23.714073,89.738859
214,0.14295,23.756238,89.65517
215,-0.942205,23.075546,90.490028
216,-0.35627,23.39507,90.252006
217,-0.77507,25.168565,90.165667
218,-0.50675,25.00332,90.044329
219,-0.501305,24.514808,89.821686
220,-0.22059,24.411616,90.056668
221,-0.578165,24.5242,89.900947
222,-0.53784,24.660061,90.016002
223,-0.17816,24.064594,89.99445
224,-0.10522,24.377987,90.175479
225,1.11823,23.775411,90.420122
226,1.277265,23.781001,90.431139
227,1.42168,23.862663,90.406831
228,0.44742,23.613141,90.117988
229,1.44898,23.709285,90.461018
230,1.2643650000000002,23.752465,90.454828
231,1.03953,23.825673,90.246501
232,0.64662,23.876784,90.374347
233,1.1888450000000002,23.468699,90.025833
234,0.940355,23.992782,90.30636
235,0.846835,23.9228,90.398158
236,0.322875,24.126122,90.567652
237,-1.04603,25.178624,89.759821
238,-0.73609,24.806842,89.859469
239,0.0975,24.448373,90.792936
240,2.11458,23.85803,90.004828
241,-0.800465,24.617683,90.278703
242,1.11712,24.750614,90.417709
243,0.22655999999999998,23.8356,90.61485
244,1.30724,23.632245,90.479095
245,1.195485,23.687967,90.515427
246,0.65018,23.795897,90.531262
247,0.89554,23.946827,90.633842
248,-0.039855,23.648867,89.539533
249,0.83743,25.030245,90.012601
250,-0.48497,24.647376,90.001991
251,1.40974,23.81812,90.426784
252,2.0853099999999998,23.714054,90.412552
253,0.77238,23.778306,90.356165
254,2.03684,23.6951,90.436078
255,2.94009,23.762841,90.421687
256,1.3466049999999998,23.713687,90.419794
257,0.35615,23.823335,90.378168
258,1.71702,23.692752,90.436891
259,1.092745,23.75523,90.447078
260,2.36777,23.719319,90.389268
261,0.69438,23.716604,90.391039
262,2.25193,23.788071,90.351773
263,2.47805,23.75893,90.355836
264,1.680305,23.764587,90.37948
265,1.353365,23.836814,90.352385
266,1.94803,23.823018,90.377734
267,2.30593,23.745948,90.406365
268,0.956935,23.759999,90.431347
269,1.77898,23.730205,90.428459
270,2.0877049999999997,23.687254,90.407643
271,1.98581,23.719009,90.420307
272,2.59331,23.759203,90.398242
273,2.63416,23.86779,90.392102
274,-0.51085,22.748157,89.797835
275,-0.58846,22.812549,89.879051
276,-0.79068,22.652121,89.87773
277,-0.831405,22.429435,89.674948
278,-0.78037,22.396543,89.780002
279,-0.7436799999999999,22.3917,89.798522
280,0.779575,23.760537,88.950014
281,-0.46994,23.57531,88.908219
282,-0.706975,23.617535,88.691764
283,-0.518755,23.457902,88.804411
284,-0.69633,23.275387,89.297009
285,-0.79945,23.228426,88.966059
286,-0.24854500000000002,22.996982,89.049392
287,-0.5924750000000001,22.844137,89.300574
288,-0.09239,23.155714,89.330526
289,-0.16172,23.22622,89.237433
290,-0.86869,23.053658,89.283319
291,-0.264545,22.943835,89.3465
292,-0.390395,22.952726,88.876655
293,-0.530815,23.619259,89.151306
294,-0.272175,23.541812,89.090397
295,-0.54767,23.561336,89.004774
296,-0.29865,23.400442,89.127638
297,-0.61162,23.269204,88.899964
298,-0.41303999999999996,23.600281,89.317743
299,-0.62896,23.592941,89.253063
300,-0.83792,22.646255,89.397426
301,0.009425000000000001,22.81185,89.401853
302,-0.70791,22.939755,89.574589
303,-0.87831,22.445247,89.283592
304,-0.23372500000000002,22.674333,89.352841
305,-0.6556,22.819203,89.613873
306,-0.39049999999999996,24.093133,88.961191
307,-0.56058,23.973008,88.78158
308,-0.379595,24.047659,88.938525
309,-0.452195,23.787974,89.288457
310,-0.47683,23.857855,89.196714
311,0.44121,23.913275,89.061614
312,-0.467805,23.70952,89.032229
313,-0.235085,23.832202,88.99669
314,-0.903155,23.381338,89.469072
315,-0.87654,23.397015,89.539748
316,-0.683455,23.301834,89.39681
317,-0.01575,23.885178,88.787131
318,-0.34384,23.858676,88.800235
319,0.187345,23.768451,88.588151
320,-0.72822,23.081662,89.640943
321,-0.554845,23.245589,89.594832
322,-0.616595,23.182744,89.435044
323,-0.41752,22.581227,89.071079
324,-0.05728,22.87511,89.003317
325,-0.57904,22.396932,89.071171
326,-0.35496,22.708012,89.083589
327,-0.159435,22.743591,89.024793
328,-0.411225,22.397019,89.183668
329,-0.33072,22.693874,89.193734
330,0.211605,22.654283,89.776146
331,-0.012119999999999999,22.492279,89.601967
332,0.218445,23.760284,88.940571
333,1.87213,23.65424,88.867971
334,-0.437295,23.50348,88.806034
335,0.60099,23.028249,89.402248
336,0.03148,23.084086,89.106547
337,1.02747,23.173135,89.214218
338,1.42366,23.1639,89.229837
339,0.40666,23.037493,88.88842
340,0.42665,23.531075,89.183954
341,-0.6247400000000001,23.396183,89.119442
342,0.22386,22.736725,89.522263
343,-0.73343,22.948192,89.678375
344,0.11026999999999999,23.89869,89.139493
345,1.2264,23.936548,88.989369
346,1.3451650000000002,23.499098,89.41036
347,0.99858,23.780111,88.633409
348,-0.9637899999999999,23.14157,89.453645
349,-0.159145,22.794092,88.961172
350,0.5356449999999999,22.854036,89.522361
351,0.05595,22.842368,89.518321
352,0.779245,22.854942,89.561235
353,-0.24157,22.827278,89.553754
354,1.39688,22.800432,89.558253
355,1.06247,22.812792,89.568465
356,1.4807,22.822982,89.536276
357,0.98216,22.817167,89.548391
358,1.164885,22.814665,89.541784
359,-0.43526,24.960166,89.422679
360,-0.79789,24.571896,89.601286
361,-0.605755,24.905653,89.112259
362,-0.8554200000000001,24.74952,89.481397
363,-0.43438,24.757194,89.300808
364,-0.800155,24.812239,89.538712
365,-0.48975,24.916728,89.518729
366,-0.02556,24.822684,89.389252
367,-0.68801,24.573327,89.526615
368,-0.8327100000000001,25.017115,89.368359
369,-0.6351,24.976099,89.493625
370,-0.50928,25.048107,88.946701
371,-0.38895,25.043026,89.219757
372,-0.48939,25.190088,89.036863
373,-0.59645,24.688859,88.867868
374,-0.13907,25.011949,88.999132
375,-0.61572,24.767666,88.641915
376,-0.59756,24.827133,88.662243
377,-0.333235,24.939871,88.77489
378,-0.47644,24.890107,88.914656
379,-0.9083049999999999,24.833158,88.570164
380,-1.04936,25.149563,88.650142
381,-0.45089,24.70551,88.913431
382,-0.61092,24.292164,88.953593
383,-0.805095,24.255372,89.188159
384,-0.48377,24.353697,89.258719
385,-0.7928,24.217955,89.083157
386,-0.180255,24.534921,88.967925
387,-0.66156,24.442524,89.099948
388,-0.63637,24.912079,88.215769
389,-0.7182200000000001,24.715648,88.369494
390,-0.75112,24.514865,88.258748
391,-0.5951,24.659438,88.249419
392,-0.334005,24.640586,88.158907
393,-0.94761,23.834706,89.631987
394,-0.66945,24.201814,89.415747
395,-0.7938050000000001,24.285134,89.346621
396,0.4407,24.057754,89.091011
397,-0.3231,24.021661,89.133515
398,-0.26053,24.035265,89.226114
399,-0.43537000000000003,23.971093,89.601275
400,-0.8926099999999999,23.841197,89.562436
401,-0.622115,24.579265,88.700864
402,-0.43059000000000003,24.616301,88.74693
403,-0.38928,24.478569,88.795252
404,0.06187,24.39504,88.427119
405,-0.5279,24.516975,88.616519
406,0.15002500000000002,24.372162,88.769166
407,-0.51058,24.672712,88.625014
408,-0.56066,24.309244,89.606681
409,-0.629165,24.396559,89.697299
410,-0.86257,24.613958,89.741896
411,-0.8422700000000001,24.490567,89.562537
412,-1.03373,24.166965,89.720825
413,-0.76519,24.159464,89.686156
414,-0.46601,24.57695,89.612478
415,-0.918315,24.376809,89.305731
416,-0.81958,24.424687,89.566781
417,-0.45695,24.350382,89.523328
418,1.71239,24.874647,89.358945
419,2.0392,24.838782,89.374707
420,0.44474,24.878693,89.347193
421,-0.04084,24.870638,89.175328
422,0.1664,24.819806,89.39583
423,0.37826499999999996,24.971768,89.028423
424,-0.84797,25.031649,89.113623
425,0.58096,24.838703,88.912514
426,0.07123,24.829881,88.909373
427,0.641795,24.368415,89.252612
428,-0.23736000000000002,24.405694,88.967489
429,-0.359885,24.720103,88.416946
430,-0.0033350000000000046,24.582126,88.271312
431,0.11856,24.078844,89.634951
432,0.7650950000000001,24.122802,89.066672
433,1.83956,24.014813,89.238022
434,-0.473505,24.18772,88.845125
435,-0.03943,24.459533,88.76755
436,0.1918,24.350862,88.667902
437,-0.89064,24.570894,88.56289
438,-0.41323,24.368061,89.660971
439,1.95088,24.457839,89.688563
440,0.55671,24.462488,89.699604
441,1.39031,24.38201,88.585855
442,1.64128,24.368844,88.60099
443,1.84292,24.365192,88.638351
444,0.827475,24.390506,88.584002
445,-0.137875,24.399574,88.617302
446,-0.505795,25.352197,88.888856
447,-0.52011,25.9003,88.692232
448,-0.62668,25.647045,88.548678
449,-0.840205,25.72795,88.485296
450,-0.54285,25.797369,88.785253
451,-0.63611,25.45183,88.852342
452,-0.418895,25.333922,88.958859
453,-0.60266,25.792274,88.77449
454,-0.75796,25.664128,88.651628
455,-0.65142,25.388458,89.13993
456,-0.85631,25.577487,88.885868
457,-0.667675,25.59572,88.969722
458,-0.56384,25.342012,89.514176
459,-0.862465,25.450823,89.585838
460,-0.9538,25.172035,89.48786
461,-0.7010799999999999,25.170105,89.494749
462,-0.69952,25.246568,89.499147
463,-0.91295,25.435582,89.460096
464,-0.85303,25.448459,89.422662
465,-0.6749750000000001,25.191571,89.518252
466,-0.765895,25.541355,89.519674
467,-0.63563,25.571832,89.466157
468,-0.8211900000000001,26.098617,89.730377
469,-0.86915,25.900917,89.600688
470,-0.7707999999999999,25.863479,89.677572
471,-0.766545,25.918724,89.678854
472,-0.84859,25.990524,89.689345
473,-0.94991,25.625442,89.822011
474,-0.789825,25.6857,89.548792
475,-0.79723,25.599765,89.62361
476,-0.8221,25.928933,89.408641
477,-0.66536,26.120476,89.148419
478,-0.57072,25.9483,89.201772
479,-0.765535,25.89711,89.47988
480,-0.84283,26.44094,88.966667
481,-0.89598,26.263517,88.895968
482,-0.8530850000000001,26.065608,88.803103
483,-0.8104750000000001,26.022306,88.944782
484,-0.756645,25.897117,89.032986
485,-0.635535,25.905023,88.892298
486,-0.29534499999999997,25.966339,88.8476
487,-0.52775,26.259697,88.47521
488,-0.75524,26.141583,88.643811
489,-0.84039,26.385053,88.579325
490,-0.6926699999999999,26.493219,88.490635
491,-0.7756799999999999,25.645559,89.095744
492,-0.4768,25.887966,89.158789
493,-0.58138,25.742238,89.386799
494,-0.709775,25.769591,89.156144
495,-0.31575,25.738212,89.305472
496,-0.63577,25.600655,89.329486
497,-0.9278500000000001,25.652027,89.15859
498,-0.473935,25.734084,89.41708
499,-0.85287,25.720824,89.44648
500,-0.440295,25.33915,89.331563
501,-0.7143550000000001,25.473721,89.349435
502,-0.918855,26.048398,88.185254
503,-0.609745,25.925112,88.147429
504,-0.9028400000000001,25.822602,88.284963
505,-0.5435049999999999,26.058439,88.438343
506,-0.49963,26.026537,88.333146
507,-0.490725,25.379265,88.998851
508,0.71711,25.493689,88.947335
509,-1.06375,25.801202,88.620242
510,0.9113199999999999,25.62618,88.63628
511,1.72516,25.61798,88.632071
512,1.44868,25.331726,89.555255
513,-0.52728,25.145165,89.400671
514,-0.8889050000000001,25.105546,89.596124
515,-0.28466,25.576723,89.660026
516,0.041749999999999995,25.80052,89.657677
517,-1.10933,25.950459,89.679609
518,1.35365,25.662291,89.612187
519,-0.20554,25.935379,89.433018
520,-0.39334,26.104263,88.822021
521,1.15562,25.940083,88.851851
522,1.426825,25.789937,88.898123
523,1.058255,26.119308,88.627375
524,-0.403355,25.666975,89.048799
525,-0.147335,25.804642,89.355114
526,1.611705,25.755278,89.249612
527,0.13609,25.752852,89.269231
528,-0.337645,25.726562,89.29393
529,-0.99629,25.83952,88.132253
530,0.82543,26.024627,88.462637
531,-0.727135,24.331606,91.622445
532,-0.97035,24.528904,91.336024
533,-0.89752,24.381773,91.381144
534,-0.59201,24.19303,91.537375
535,-0.4903,24.242752,91.392512
536,-0.262965,24.341638,91.444712
537,-0.8298449999999999,24.342528,91.331677
538,-0.50183,24.05795,91.351324
539,-0.4652,24.155166,91.386717
540,-0.691805,24.672051,91.610557
541,-0.45713000000000004,24.659861,91.537343
542,-0.4679,24.701688,92.147579
543,0.24877,24.601481,92.134808
544,-0.305295,0.0,0.0
545,-0.0019899999999999987,24.606738,92.000277
546,0.5306,24.474864,92.052649
547,-0.71314,24.490522,91.804708
548,-0.82173,24.440995,91.735628
549,-0.08311,24.52677,91.819684
550,-0.30274,24.309422,91.672311
551,-0.646215,24.291332,91.634173
552,-0.843315,25.146603,91.322442
553,-0.41211,25.043678,91.63129
554,-0.715225,24.9247,91.569834
555,-0.936715,24.853969,91.470698
556,-1.054145,24.83933,91.257509
557,-0.839215,25.046843,90.986842
558,-0.86843,25.131565,91.580252
559,-0.48909,24.702909,91.651983
560,-0.63383,24.740036,91.64554
561,-0.867425,24.739469,91.203942
562,-0.87,25.156411,91.384051
563,-0.95322,25.165403,91.172821
564,-0.6540699999999999,24.673308,91.814964
565,-0.40188999999999997,24.667401,91.853296
566,-0.7486349999999999,24.903567,92.225362
567,0.61911,24.872272,91.680665
568,-0.66718,25.143631,91.758653
569,0.624985,24.851044,91.910651
570,0.1318,24.654605,92.001772
571,-0.33592,24.720203,91.987688
